,definition,downvotes,mnemonics,upvotes,word
11,"['(adj) of the most contemptible kind', '(adj) most unfortunate or miserable', '(adj) showing utter resignation or hopelessness', '(adj) showing humiliation or submissiveness']","['5', '0', '1', '11', '27', '5', '3', '2', '39', '0', '0', '0', '0', '0', '0', '0']","['Abject sounds like REJECT.\r\nPoor people are like REJECTED (Abject) people in the society.\r\npoor people or people lacking pride (abject people) are rejected  in society', 'abject sounds like reject if any person is rejected in job he/she will feel hopless and wil be in miserable condition', 'Abject sounds like Reject...hopeless person is always rejected', ""Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    'Submissive' ppl are treated as mere OBJECTS THAT ARE OWNED (compare object wid ABJECT)  and less humane.."", 'interpret ""abject "" as opposite to OBJECT...Wen we think of object immediately it strikes that object is a point or thing ..so point or thing has got some location or some reference to it..so opposite to  reference and  hope is hopeless or miserable.', 'One social object is to reduce abject poverty.', '""ab+ject""something opposite to inject,in+ject,inject means induces something, abject means not inducing so, no self respect,no feeling.life is degraded due to lack of blood without injecting..', 'ABJECT IS AB+ JECT, wich is spoken as jack....\r\nso a person having no jack at all lacks pride and is wretched in society', 'interpret ""abject "" as opposite to OBJECT...Wen we think of object immediately it strikes that object is a point or thing ..so point or thing has got some location or some \r\nreference to it..so opposite to no reference and no hope that is miserable o', 'abject sounds like ab + eject, \r\nab means away\r\neject means throw\r\nso abject means thrown away, losers are thrown away,\r\nfor example an abject loser', 'abject -ab not or away and ject means jacket relate to people of nepal living in abject poverty so unable to buy jacketabject -ab not or away and ject means jacket relate to people of nepal living in abject poverty so unable to bu', 'A DEJECTED (depressed) person will be in ABJECTED state of condition/mind.', 'http://www.flickr.com/photos/streetcorner/4964269016/', 'your Object is so Abject! Aim higher or you will be rejected', 'abject', 'Abject-not(A) having any objection.']","['89', '20', '10', '7', '3', '3', '2', '2', '1', '1', '0', '0', '0', '0', '0', '0']",abject
12,"['(verb) formally reject or disavow a formerly held belief, usually under pressure']","['10', '85', '6', '8', '16', '3', '16', '12', '5', '3', '2', '16', '0', '0', '5', '2', '0', '0']","['Abjure think it like injure. so once you are injured you will give up.\r\nso abjure means give up', ""ab+jure...jure- jor (in Hindi) Jor lagaao chodoo mat....(Don't Give up) (this mnemonic is in Hindi Language)"", 'abjure ~ ab (away) + jure (jury).  He abjured (rejected, moved away from) her earlier statements in front of jury.', ""Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    ab jury ke saamne kasam khaata hoon, i'll not do this again"", 'ab+jaanede+yaar (abjure) am renouncing', 'ABJURE = the prefix AB- means against. -JURE means rule (like JURY)\r\n\r\nSo, ABJURE means to rule against.', 'ab(now);(jury).one compulsoryly have to take an oath in front of a jury', 'Abjure = Ab jure (Zaroori in HINDI) .. under pressure you say ""Ab zaroori nahi hai""..', 'abjure sounds like ""object"" which both are the same in the meaning to renounce', 'Ab indicates negative meaning. -jure can be thought as JOR in hindi meaning pressure..so GIVING UP UNDER PRESSURE is ABJURE', 'ab+chod--give up', 'I SURE never believed in this crap!', 'read ab+jure like ab+jaa(i.e remove,renounce)', 'Sounds like: ""Abb joor lgaa ke chodh dho."" (Now go all out and give it up)', ""WoW: you don't want to conjure water but you abjure to do it."", ""Take an oath in front of jury to denounce one's belief."", 'abjure', 'ab jane de re. (in marathi ab(ata) jau(ju) de re) means give up.']","['87', '20', '18', '18', '11', '10', '3', '2', '2', '2', '2', '1', '1', '1', '0', '0', '0', '0']",abjure
13,["(noun) the ritual washing of a priest's hands or of sacred vessels"],"['10', '7', '0', '9', '3', '13', '4', '0', '0', '0', '0', '3']","['ab+solution sounds like blue solution,means pure water,which is used to wash yourself.', 'take the suffix.lution sounds like lotion .so,i am washing(cleaning) the wound my some antiseptic lotion.', 'ablution ~ a + blue + solution; just imagine some blue color solution used for washing clothes.', 'a+blu+solution=detegent n its used to wash', ""'ablution' is 'a blue solution'. It's a sacred solution used by priests to wash their hands and temple utensils."", 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    ABlution=AB+pollution that means causing not pollution', 'After finger painting I washed my hands but I forgot that I touched my face so I ended walking around with A BLUE CHIN all day without even noticing', 'AMITHAB BACHHAN APPLIES A LOTION BEFOR HIS ABLUTION(SINCE HE IS TREATED AS GOD)', 'People believe they can obtain AB-so-LUTION(forgiveness for sins)by CLEANSING(Washing) themselves in the Ganges.', ""ABLUTION=AB(prefix meaning 'towards')+LUTION(sounds like Lotion).Thus, Towards Lotion->in the bath u tend towards using lotion"", 'take ablution to remove pollution', 'abolish poison']","['62', '19', '10', '5', '4', '2', '1', '1', '1', '1', '1', '0']",ablution
14,"['(noun) the denial and rejection of a doctrine or belief', '(noun) renunciation of your own interests in favor of the interests of others']","['15', '1', '2', '8', '2', '0', '3', '0', '4', '0', '0']","['abnegate: ab+nahi+get; meaning giving up something', 'Ab-negate ~ relate negate to negative and ab to away. It implies subtracting something. Subtracting (removing away) some important aspect of your life means sacrificing something.', 'abnegation=ab+negation. negation part could be considered as saying negative answer. when you say NO to something, you have rejected it or renounced it', 'Ab-abishek, negation-negitive,,,,"" Abishek bachan sacrificed himself to do negitive role in RAVAN as director requested him""', 'abnegation= absent negotiation= when two lovers cant negotiate with their parents about their love they have to self sacrifice for others', ""Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    ab+negation..negation means negative or not..Even they dont like or not.. 'ab'away.. they give away.. they sacrifice."", 'abnegation\r\nnegation =negotiation\r\nusually during negotiation u have to sacfice sumthng.\r\nso negation=self sacrifce', 'abnegation- abne-apne , gation sounds like nation..apne nation ke liye mene self sacrifice de diya', 'Abnation is part of life in abbey(The dwelling place of society of monks and nuns.)\r\n\r\nAbbey can be remembered by OBEY. (Monks and nuns obey the rule.)', 'ab-negate: ab (now) I negate (nullify) myself..', 'state of having no ego-abn(o)eg(o)tion- sacrifice state']","['38', '15', '12', '10', '6', '6', '3', '3', '1', '0', '0']",abnegation
15,"['(noun) any address at which you dwell more than temporarily', '(noun) housing that someone is living in']","['2', '6', '13', '1', '2', '8', '3', '8', '0']","['abode sounds jus like aboard= a+board... boarding refers to living room or place', 'a-bode(body) ......a body needs a dwelling place/home', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    Children use Adobe software to make abode(houses) in pictures', 'abode: some people get bored (from bode) staying in home.', 'Abode is built using Adobe. Adobe means sun-dried brick.', 'abode... ab odh ... sote waqt odhna.. means you are at some dwelling place/home/abode', 'Sounds like a boat. Some people live on a boat.', 'abode-adobe(house)', 'bode is similar to bride, \r\nAbode-A place where bride stays most of the time i.e. home']","['73', '19', '15', '9', '9', '3', '2', '0', '0']",abode
16,['(verb) do away with'],"['5', '0', '7', '7', '5', '1', '4', '0']","['sounds sumwhat similar to demolish..which means put an end of sumthing', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    abolish is similar to abort.Meaning of abort is to stop the development of a baby.Thus the meaning ""End something"" or ""Put to an end"".', '2nd part sounds like ISSSSHHHH\r\nn when dis sound is pruduced it means something is not gud n needs to be cancelled or brought to an end.', 'abolish..A+bolish(sounds like  POLICE...)so A POLICE team came to wedding hall,and cancelled the marrige as he was marrying second time without divorcing first wife.', 'the last letters sounds lyk ishhhh whch reminds us f aishwarya rai..her memories puts an end 2 our heart beat...hene abolish is to put an end 2 sthng....', 'abolish sounds like a+polish which means it cleans bad....put an end to dust', 'conc on ab....o(zero)of abolish.that is ""ab zero pe aana padega"" or come to zero.i.e.come to an end.', 'ab + polish (bolish) : now we have polish our shoes and hence put an end to dirt over it.']","['30', '9', '7', '6', '2', '2', '1', '0']",abolish
17,"['(adj) unequivocally detestable', '(adj) exceptionally bad or displeasing']","['10', '3', '2', '6', '4', '0', '0', '19', '0', '1', '0', '4', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","['abominable means think as boman irani(vilan in 3idiots)...so he is bad,hated by all,his face was extremely unplesant (in dat picture)', ""abo + min + able : this work is not even above (ab) my minimum (min) ability (able) level.. so it's exceptionally bad."", 'ab+omin(OMIT)+ABLE means ""away from omit"". if sth can not be omitted it is forced to us and we should tolerate it and gradually we would hate it', ""abo=> above  min=> minute able => able \r\nso hated so can't resist above a minute"", 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    ever heard of abominable snowman??...its an apelike wild animal ....so its unpleasant', 'a+bom .. when bomb blast its very displeasing', 'abominable= a bomb + able: nobody likes what a bomb can do. Its extremely unpleasant', 'ab+omin(OMIT)+ABLE......now think of our indian cricket team ,right now are we able to omit any one? no !because everyone is playing good', 'a+bomi+nable...bomi in bengali means vomitting.hence abominable can be linked to somethin which provokes u to vomit...hence detestable', 'Read it like ABOOOMINABLE...\r\nso boo{hindi word for bad smell} is coming n u r not able to smell it....', 'Abominable= ab(away) omit, we usually omit thing we hate and put the away', 'ab=abroad,omin=omen,able=unable.so,i am unable to go to OMEN coz people there are unpleasent', 'abominable=ab+omit+able..means know ur painful and able to omit it', 'sounds like vomitable=VOMIT+ABLE i.e. vomit is detestable', ""A-Bom(b)in(g)-able!! No one wants this, everyone's worst nightmare."", 'A-Bom-Mina-able', ""ab -> Negate\r\nomin -> O-mine\r\nab-omin-able = that can't be mine =detestable"", ""a bomb is dropped so it's very unpleasant."", 'abominable=ab o(or) min(mint) able(not able to eat) bcoz i hv eaten it alot during my childhood n now i hate it', 'ab+ominable.  omit sounds like womit. ab means away. we tent 2 move away from womit because its detestable', 'someone vomits on you and you feel very disgusting.', 'bomb+bull:The bombs coming out of bull smell exceptinally bad.', ""'AB(prefix meaning Not-remember Abnormal)'+'OMIN(sounds like Amen)'+'able'->somebody who isn't able(is reluctant) to say 'Amen' after the prays is considered bad,detestable and unpleasant"", 'a + minable >>> a mining place has UNPLEASANT climate and has VERY BAD smell in it..', 'ab+omin+able...think of ""omin"" as ""omen"" which is highly unpleasant']","['43', '14', '9', '5', '4', '3', '3', '2', '2', '2', '2', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '1', '0', '0']",abominable
18,['(verb) find repugnant'],"['2', '6', '4', '0', '0', '0', '0', '0']","['the last four letters sound lyk hate(nate)....hence abominate is to hate sb/sthg...', 'once again wid reference to mnemonic of abominable ....abominate has BOMI(bengali of Vomit)....which is unpleasant experience', 'ab(abhi..a name of a person)+ominate(sounds like  ""mina""(focus on middle part..name of girl...+omit...(means  deliberately         )....abhi omitted mina from his team because he hated her like anything.', 'abominate sounds like dominate and we HATE those who dominates us', 'I NOMINATE Adolf Hitler to be the most hated tyrant in history of the world.', ""Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    A bom(b) ate = Eating a bomb is really bad! Who wouln't loath this?"", ""abominate = a bha minute. imagine u have given a minute time to your girlfriend and now she didn't came and you HATE her"", 'ab(abhi...a name of person)+ominate(sounds together like omit mina.....means leave out mina)......abhi omitted mina from his team because he hated her like anything']","['12', '5', '3', '3', '1', '1', '1', '0']",abominate
19,"['(noun) a dark-skinned member of a race of people living in Australia when Europeans arrived', '(noun) an indigenous person who was born in a particular place', '(adj) of or pertaining to members of the indigenous people of Australia', '(adj) characteristic of or relating to people inhabiting a region from the beginning', '(adj) having existed from the beginning; in an earliest or original stage or state']","['3', '2', '0', '2', '2', '0', '1', '3', '0']","['see the word origin which means first of a kind.', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    abe ye ORIGINAL hai', 'A B Original : A-B are initial (original) English alphabets.', ""intepret the meaning from 'original' in this word.."", 'ab many things we buy are not original we used to get these earlier in primitive days', 'AB+orginal.. First of its kind.. Even though the modified one is latest one..EX:- the aborignal form of this place is very pleasant..', '""Ab Ab Ab Ab"" said the green baby. This baby came from an origin? But where? A specific spot in Ireland.', '', 'The boy in moview ""Australian"" recalls me the meaning of word ""arboriginal""']","['20', '13', '10', '5', '1', '1', '1', '0', '0']",aboriginal
20,['(adj) failing to accomplish an intended result'],"['1', '2', '2', '1', '0', '0', '6', '0']","['Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    Relate it to abort..things usually gets aborted when it seems that it would be unsuccessful or fruitless', 'relate it to ""abortion"" in wich parents remains FRUITLESS...', 'abortion is a common word which means termination of pregnancy.. and hence something unsuccessful or fruitless.', 'abort => ""to stop somthing before result""  ive= action\r\n\r\nthat is ""useless action""', 'Abort+ive: abort means to stop.. ive to stopped due to some unsuccessful conditions.', 'You abort an GRE score if u r unsuccessful', 'Antonyms:complete, consummated, effective, effectual, efficient, fruitful,successful', 'when we put a cd in the cd drive of a computer and den eject it before transferring data, dere is sum command which comes on da screen like ur transfer was aborted means something which was in process has stopped.........']","['40', '10', '9', '6', '2', '2', '1', '1']",abortive
21,"['(noun) a substance that abrades or wears down', '(adj) causing abrasion', '(adj) sharply disagreeable; rigorous']","['1', '3', '7', '1', '11', '0', '0', '2', '0']","['abrasive:ab-Erasive:which means rubbing away', 'abrasive..it sounds like aggressive,which means harsh behavior', 'A+BRA+sive.. it is very harsh behaviour if we touches a womens bra.. which is not good..', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    ab + rasi -- ab means away and rasi sounds like erase.. erasing something to remove away some dirt.. hence rubbing away.', 'take first three letters of this word...i.e. ABR...\r\nnw simply jumble the wrd..\r\nit will give u...RAB...n it sounds like RUB..i.e. meaning too', 'a-bra-sive which is rubbed every day', 'bras polishing -> rubbing or to grind down', 'abrasive remark like an abrasive material', 'like razor ,which rubs away things']","['51', '23', '12', '8', '3', '1', '1', '0', '0']",abrasive
22,"['(verb) reduce in scope while retaining essential elements', '(verb) lessen, diminish, or curtail']","['1', '0', '0', '1', '3']","['a+bridge..well bridges are meant to reduce the gap between something..so abridging..something means reducingor shortening something.', 'a+bridge : bridges can shorten the transportation time..', 'there was a long path but due building of bridge  path was shorten', 'ab-rid', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    The Abridged Dictionary, Yey! not 100,000 words, just 3,000.']","['46', '13', '3', '1', '0']",abridge
23,['(verb) revoke formally'],"['17', '2', '8', '9', '11', '4', '1', '8', '4', '1', '0', '0', '0', '5', '0', '0', '7', '0', '0', '0', '3']","['Imagine a boy is making sighs to a girl standing in front of her GATE,seeing that ,her BRO comes & get rid of the boy (abolish)', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    ab (now) + rog (disease) + ate (eat) so, eat the disease and abolish it now.', 'rogam-disease need to b abolished', 'ab+*rog*+gate\r\nWhat does a ROGUE do if he is given power? -> Abolish things officially !!!', '(this mnemonic needs understanding of Hindi language) ab ro gate par aakar (in Hindi) imagine a person crying(ab ro gate par aake) in front of a gate because his form has been cancelled (abolished)', 'ab*ROG*ate .. concentrate on ROG , it sounds like rogue and normally we like to ABOLISH rogues', 'A-BROke-GATE = abolish', ""A's (someone's) Brother is standing near INDIA GATE to abolish the excise duty law."", 'abro-gate to ask someone to get out of our gate . thus you are  abolishing that person.', 'ABROGATE = ABOlish or ABATE leGAlly.', 'A + Bro(Brother) Gate(at gate) a brother turns away at the gate', 'ab+rog+ate: ab rog ne use kha liya...', 'A+Broke+Agreement ---> abrogate ---> to end a law/agreement', 'aman+bra+ gate :Ladies revoked or abrogated as the man was putting bra on GATE.', 'A Bro Gate, a gate for brothers only, which abrogates the hierarchy.', 'Ab ro gate par cos tender has abrogated.', 'aman+bra+ gate :Ladies revoked or abrogated as the man was putting bra on GATE.', 'A bro not going into a gate and turning back.', '', 'bro(brother)bfr gate, child should not beg it should be abolished', 'a + bro + gate\r\n\r\nthey put a gate on my bro to revoke him\r\n\r\nor my bro was leaving home, so they closed gate to stop or revoke him.']","['111', '32', '25', '9', '6', '6', '5', '4', '3', '3', '2', '2', '2', '1', '1', '1', '0', '0', '0', '0', '0']",abrogate
24,"['(noun) shedding of flowers and leaves and fruit following formation of scar tissue in a plant', '                (noun) the act of cutting something off']","['0', '0', '1', '4', '3', '4', '0', '0', '0']","['It had the word sciss(scissors) in it.Scissors are used for Cutting,seperating..', 'ab + scission = scissor scissor separates two things by cutting them ,so separation', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    ""abscission"" sounds like ""Recession""..nw a days companies are cutting their employs due to recession.', 'its from word abscissnic acid which causes cutting of bud off the plant. so abscission is cutting off', 'rogate is something that sounds rogam which should b abolished......', 'Imagin word in following way ""absc I ssion"". Here "" I "" is separating \r\n""absc"" and ""ssion"". SO it is nothing but cutting these words.', 'rootword meaning ab(away)scission(scissors)=== scissors cut away anything in two parts', 'it may be from abscissa,i.e X-axis, X is crossed or cut off', 'Using word roots, abs=away or off and cis=cut/kill, hence abs+cis+sion= cut something off']","['37', '13', '5', '3', '1', '1', '0', '0', '0']",abscission
25,['(verb) run away; usually includes taking something or somebody along'],"['4', '7', '10', '1', '3', '2', '0', '0', '0', '0', '0']","['Abscond � ab + scond. �Absent in a second�. When you will absent in a second? =when u STEAL OFF & HIDE, or when u DEPART secretly.', ""absCOND sounds like abs'KAND'..when you do KAND you run away, depart secretly and hide :)"", 'focus on cond=condition if elders keep conditions to do this n that we will do it secretly or we will escape from that place secretly', 'ABSENT KAUN(who?) - whoever is absent in class has absconded', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    abscond treat it like james bond, hidinng from villain', 'ab-Abishek, scond-scoundral  ""Amithab scolded Abi as scoundral, and abishek ran off or hide secretly with fear', 'abscond - the con artist secretly depart from the town.', 'due to continuous absence in college,they detained him', 'kand karke abscond ho gaya', 'abs + cond (condition) : I should have six pack abs is an important condition before she can abscond with me.', 'Abs (Absent)+ cond(condition)']","['135', '20', '13', '8', '1', '1', '1', '1', '1', '0', '0']",abscond
26,"['(noun) something that is conceived or that exists independently and not in relation to other things; something that does not depend on anything else and is beyond human control; something that is not relative', '(adj) perfect or complete or pure', '(adj) complete and without restriction or qualification; sometimes used informally as intensifiers', '(adj) not limited by law', '(adj) expressing finality with no implication of possible change', '(adj) not capable of being violated or infringed']","['1', '0', '0', '0', '0']","['""solute"" sounds like salute and we use to salute people having complete power.', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    A+B(P)+SOLUTE= A perfect sol, that dissolves anything completely, perfectly and anything that is pure', 'Absolute power = complete power', 'at absolut temp gaseous particles remain ""completely"" at rest', 'absolute comes from ""Absolutely Right ""....meaning completely right.']","['15', '7', '3', '0', '0']",absolute
27,"['(verb) grant remission of a sin to', '(verb) let off the hook']","['5', '2', '10', '8', '0', '1', '1', '2', '2', '1', '0']","['ab -solve .\r\nso you  solved a dispute between you and your friend , how did you solve it\r\nby forgiving and pardoning him/her .', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    Releasing a person from jail sheriff tells him: ""you can go I\'VE SOLVED the crime, turns out you are innocent after all""', 'bahut cheating kar li ...""ab solve"" kardo...', 'absolve also=exempt,discharge,dispense,exculpate,acquit,exonerate,vindicate', 'ab + solve : if you can solve this problem, I can absolve your sin from the accusation of cheating in exam. (a teacher said to his student)', '""Don\'t let him off the hook unless you ABSOLutely belieVE that he didn\'t do it.""', 'ab-now, solve is normal.. ""ab problem solve ho gaya hi.. mein tujhe maaf kar raha hun.. jaa""', ""I'll let my Ab(s) Solve the problem between us, and when she pardons me, she'll be all over my abs...ooh."", 'Ab+ Solve; if you move away(Ab) to solve problems you will feel guilty;\r\nif you SOLVE your problems, you will be free from guilt and blame and their consequences.', 'absolve your sin is to pardon your sin.', 'abhi solve karde to maaf kar dunga']","['56', '7', '5', '2', '2', '2', '2', '0', '0', '0', '0']",absolve
28,"['(verb) refrain from voting', '                (verb) choose not to consume']","['3', '0', '0', '2', '2', '2', '1', '0', '0', '0', '0']","['ab+stain...we tend to stay away from stain....', 'this can be written as ""ab+stai......and stai......sounds like stay.... and .. stay  out of something means not involving in sth that doesn\'t concern to one.', 'ab+stain ... Dell Steyn is a dangerous bowler .. batsman normaly dont want to cm in front of him', 'Powered by\n                    Mnemonic Dictionary\n                    \n\n\n                    Focus on stain mom will scold us if we have some ud or ink stains on our dress .So,promise to mom i wont play in mud again(choose not to do something"")', ""like in above case intentionally not using one's vote.means  one knows that even if he/she uses thier votes politicians will never change hence they are concern about it and staying out of the voting process"", 'ab (away) + stain = Mom asked me to be away from or not participate in the party due to stain', 'Steyn is an South African bowler with an ugly face.. so, ab+styen means stop looking at him, or withhold the participation.', 'abs + tain (train - trainer) : my abs trainer (in gym) advised me to abstain from alcohol and oily stuffs.', 'ab (meaning away) + stain : we generally tend to stay away from stain (dirt, dust etc)', 'Read ab+stain like ab+stay(means stop) i.e ab stop smoking', 'abstain-(ab+stain) also abdicate(ab+ dicate) both r 2 give up something you liked. abdicate can be related to dictatorship,& abstain can be related to stain which is not cherished. so u abdicate from monarch but abstain frm smokin']","['58', '9', '4', '2', '1', '1', '1', '0', '0', '0', '0']",abstain
